reviewText,overall,sentiment
"Haven't used them yet, didn't notice it did not come with the wand",1.0,negative
"These were in a delivery of prime pantry. They arrived in a box with less than needed packing material
And one of the orange sodas busted all over the order. I spent an hour washing and drying sticky cans.
I knew if I put them in my pantry they could attract bugs. I will never use the Prime pantry again.",4.0,positive
"Save your money for something more high end. I constantly have to recalibrate my bed, and even if I make no changes, they calibration will show a different number EVERY SINGLE TIME.

Also, even if the calibration is a ""success"" the extrude will hit the bed when it is cleaning, or sometimes make a grinding sound across the bed as it is printing, and I will have to start over.

The prints come out pretty sloppy as well. Could it be that I got a bad unit?

I regret not saving my money for a Makerbot.

My only hope that the future firmware and software updates will make my prints come out better... And I also hope that it is something as simple as a bad sensor making my calibration so difficult.",2.0,negative
I bought them because my wife said the ingredients were not bad for you.  She is very careful about what she will let be eat.  No complaining just thankful.,4.0,positive
Delish,5.0,positive
These were so yummy and perfect to dump right on my cottage cheese!,5.0,positive
delicious and nutritious! Part of the Amazon Pantry...great deals and free shipping,5.0,positive
"Being a fan of chowders, I find this to be delicious and satisfying. Could use more clam pieces, however.",5.0,positive
"Came as liquid when my prior jar of different mfg was solid.  All previous coconut oil I have purchased remained solid year round.
I don't know whether this is good or bad, or whether it indicates the product contains a different type of oil.
I will contact manufacturer when I have time and will modify this review if the answer is favorable.",2.0,negative
"They are larger than regular sandwich bags, they work great, never had any tear.  That's about it for my baggie review.",5.0,positive
Bland but then salt is not good for you.,4.0,positive
"Performs no better than the stock hotend on my Prusa i3.  PLA and PETG ooze out once it gets hot, even if you have the filament retracted.  Too much cooling (considering that it doesn't provide any benefits).  Prints with PETG often fail from thermal runaway because the hotend can't maintain >240.",1.0,negative
burns skin,1.0,negative
"Ordered 5/16"" DIA but received 3/8"" DIA.  Item is in good condition, but unusable to me.  Not worth having someone turn this to the diameter I need.",1.0,negative
"Little sweet for my liking and isn't as healthy as they'd lead you to believe, but the price wasn't bad so why not?",4.0,positive
"Oh so easy for grandchildren and me, too! The portion is just right and the peach/strawberry flavor is much better than expected. The peaches are firm (like the fruit bowls) and the Jello tastes like strawberry Jello. Easy to open bowl . . . serve at room temperature or keep in the fridge. Yummy!",5.0,positive
Yummy and easy,5.0,positive
great,5.0,positive
Yuck!  Sucks....... Droopy bacon in  a package,2.0,negative
"yuk, tastes bad",2.0,negative
I wasn't impressed...maybe it was stale.,2.0,negative
Too sweet for my palate.,2.0,negative
great,5.0,positive
Seems ok so far.,2.0,negative
Dose not work as well as what I had hoped.  Leaves residue on my stainless appliances.  Honestly my regular kitchen cleaner or even soap and water does just as good of job.,2.0,negative
oh my this stuff is so good be back,5.0,positive
"We like these chips very much, but it is a 50 mile round trip to the nearest market that carries this brand.  Something different than a regular tater chip - and maybe a little more healthy, too?",4.0,positive
"I hate this stuff. It just burns, and not in a clean refreshing way.",1.0,negative
Taste a lot better than I expected,5.0,positive
WAY too hard to make for just a little cake. It has you make your own frosting from a powder! Lame.,1.0,negative
"In an effort to get my kids (6 and 2) to eat a little healthier, I purchased a few organic items and Earth's Best items from Amazon Pantry. My son and daughter absolutely LOVE these, but in my opinion, they are a little small. They are almost half the length of similar products (i.e. Nutri Grain bars), and almost double the price... so they were gone within 2 days.

As most moms out there, we are fed some things by our Toddlers.. whether we want to eat them or not LOL. This one of those times.. my daughter shoved a big bite of one of her bars in my mouth. Personally, I found them a little dry and (similar to another reviewer), they also tasted a little ""gummy"" to me.

Even though I don't particularly care for them, my kids and their friends love them, so I will continue to buy these until my kids decide otherwise. anytime I can sneak a healthier snack option into my kids' routine is a good thing!",4.0,positive
Great for a light crunchy snack.,5.0,positive
Very tasty. Like this product very much at any time of day.,5.0,positive
"This Pasta Roni variety,Shells & White Cheddar, is so amazingly good. It tastes wonderful, nothing like many other boxed macaroni and cheese mixes. The white cheddar makes all the difference here. It almost tastes homemade. It is creamy and quite hard to resist. Which is a problem because it is high in calories and fat and pretty low in any sort of real nutrition. It has a lot of junk ingredients too but man, oh, man, now and then it is worth the extra calories to dig in and enjoy this cheap and easy side dish. I always look for things that are healthy and low in fat and this really is neither but life isn't black or white. Now and then, I want some good macaroni and cheese and I don't want to spend time making it from scratch. I don't eat this often but I totally enjoy it when I do. Then I diet for two days after! I do use 2% milk instead of whole milk and it tastes just as good so I save on calories and fat a bit doing that. Skim milk waters down the taste. This is one of the tastiest boxed pasta mixes I have tried.",4.0,positive
"These are a bargain, I guess, but I just HATE how the clip sleeves slip off and don't allow you to get a good grip. Then it's hard to get 'em back on when you get the idea to slide them off the clip. Errrgggh! But they are what they are. When you get some bucks, go for higher quality clips.",2.0,negative
good,4.0,positive
I like it!!!,4.0,positive
I was unable to tolerate odor of this product.,2.0,negative
My family loves this cornbread mix. It cooks evenly and always comes out moist. Will buy more as needed and would recommend to others.,5.0,positive
As advertised,5.0,positive
Not that good,2.0,negative
"Sort of sweet and gets soggy in milk pretty quickly. I got it because it was on sale and was relatively lower in fat, but wouldn't buy again unless really really inexpensive.",2.0,negative
"I got this the other day. I already own 2 P3 International P4400 Kill-a-watt meters which are very similar in function.
Here's why the TS836A is better:
The display has three lines instead of one. more info at a time. Not well used though...
The plug is lower on the unit and does not block the second outlet of a duplex outlet receptacle
The unit remembers min and max power levels.
The unit has an internal NiMH battery and keeps the accumulated time and KWH and min/max Power info in the event of power failure or just moving the unit.
The unit enables cost per KWH entry to calculate actual cost rather than just KWH
Current is displayed xx.xxx vs. xx.xx for the P4400. One more decimal of resolution. Too bad the current reading is much worse accuracy than the P4400!

Here's why the Kill-a-watt P4400 is better:
smaller size
2% error on current and watts vs 5% error on current and watts for the TS386A (spec was 3% for the TS386A so its out of spec)
Display is easier to read, the segments of the numbers are bolder and much easier to read in dim light and off-angle. esp. when the unit is wall mounted down low.
Individual buttons chose one or two functions only - easier to chose.
The line frequency is displayed with xx.x digits vs. just xx (no decimal) for the TS386A Better frequency resolution is nice if you are using a generator for example.

Ultimately it is a little harder on the TS836A to find the info you want due to the function button having so many functions. The units that show what the numbers are is very small and hard to read. On the P4400 I can just push the button for the function I want and I know what units the number displayed is in.

Picture shows accurately the contrast difference in the displays. (picture here: http://www.amazon.com/review/R2GZM7RIYIITWK/ref=cm_cr_rdp_perm?ie=UTF8&ASIN=B00009MDBU)
Instructions with the TS836A are a little hard to understand. I don't have the P4400 instructions at hand but I don't recall having such a hard time with them.

Final opinion: I think I like the Kill-a-watt a little better.

P.S. 9 months later, The display is dimmed out and all but unreadable. Definitely a loser now. P4400s all still working and much older. Changing my rating to one star!
PPS Its readable but only at a very small viewing angle from straight on which means you can never read it when plugged into a fixed wall socket like its intended.
And by the way, it doesn't have VA (reactive power)  and Power factor of the P4400. something I miss.",1.0,negative
All the cans arrived dented. Very disappointed.,1.0,negative
"We've loved these Viva 'like cloth' napkins for about 8 years and have preferred them over others all that time. We were both moaning when I accidentally bought a case of the 'Viva scrubs' paper towels, as they're not at all like cloth. So, since we're finally through those, I looked especially for 'like cloth'. I'm not sure if it's because they're 'Choose-a-Sheet' or because they changed the structure, but they're slightly thinner and courser than they were (we had some of the former 'like cloth' to compare them to). So, they get 4 instead of 5 stars from us now. However, they're still pretty nice. Unless we discover better, we'll be sticking with them.",4.0,positive
"Grape juice has resveratrol, a potent anti-oxidant. No added sugar from Welch's.",4.0,positive
"Good food, convenient, and good price.",5.0,positive
"Not a fan of these, the plastic is very thin and not of good quality and can break easily when you're trying to close the connector and get a good seal
Overprices ones from RadioShack are of much higher quality, and those have two metal pieces to make contact with the wire you're tapping, this product only has one such metal piece

don't get me wrong, they do work, but there's better stuff out there, I wouldn't trust something like this in my car, broke a couple when installing, will look for another brand next time and avoid these 100pack cheapies",2.0,negative
Great shape tacos for filling it with lots of ingredients and meat! Only hard shells that I use. They do tend to break from time to time when coming straight out of the package (on average I discard 2-3 every package),5.0,positive
Good product.,5.0,positive
"Cheaply made plastic.  Not a regular hardware store anchor,  To cheaply made",1.0,negative
"This is kind of a pointless product.  Why not just use regular wipes for hands and face?  It takes up space in my diaper bag, and I don't reach for them even when I could use them.  Also, the package arrived ripped open, I had to tape it to seal it shut.",2.0,negative
"Yummy, yummy in my tummy!!! I love this company and this rice is good and works in so many dishes.",5.0,positive
Not the scent I expected. It's smells more like a man's product. I used This in combination with the shampoo and conditioner. It all works well together. I'm not trying to smell like a dude though. I have 3 boys so they get some good stuff.,2.0,negative
These aren't nearly as good as they used to be. I'll never buy them again.,1.0,negative
"No pork.  I mean, was someone thinking about pigs when they were canning this?

Also, why High Fructose Corn Syrup?  I thought people were on the anti-GMO bandwagon.  It's my own fault for not reading the can before purchase.

Never again.  Too sweet, no meat, lousy product.",1.0,negative
"very easy dinner idea, we stock these for the times we're rushed for a meal",5.0,positive
Cloyingly sweet and not at all chewy. We are still on the search for the perfect on the go breakfast bar,2.0,negative
"I am not a big fan of using Neosporin, to be honest. I used it in two areas: on my face and lower knee cap. When I used it on my face, I ended up breaking out. Around my knee cap area, I had a minor burn, which led to an infection after I applied Neosporin on. I had to go to urgent care, and turns out that the white petroleum in Neosporin is made up of 98% of the inactive ingredient. My doctor said I should buy USP petroleum jelly or beeswax, next time. The only thing I use Neosporin on is paper cuts and other very teeny weenie scrapes.",2.0,negative
Fantastic!!  GOD Bless America!,5.0,positive
Just too dang dry for me.,2.0,negative
"Will not buy again, very cheap and a ONE TIME USE ONLY, but did the trick for my wheels but could have actually used 2 of them as it lasts for only about 2 rims.",1.0,negative
"Would have given 5 stars, but the spout was broken (not the seal) when it arrived.",4.0,positive
ok,4.0,positive
don't like it so much as snack. perhaps good for children,4.0,positive
handy for whern you need a splash and taste of lemon.,4.0,positive
it works,4.0,positive
"Very tasty with a great ginger zing. Not many in a package, though, so you better buy two.",4.0,positive
can't really say because it was not wha I needed,2.0,negative
"I wanted to like these, but they're not that great. The sauce tastes weird and varies with each cup: Some have no garlic taste while others have too  much fakey-garlic flavor. The pasta doesn't cook well and stays hard after three minutes, so it's best to cook  it for 4 and a half minutes. The sauce is really runny and it makes oily stains on tablecloths or clothes if it drips. It smells bad too! My house smelled like the sauce for a day before an open window and an air purifier cleared it out. What a shame.",2.0,negative
"Just as the 100 yellow ones I bought, these are terrible. By 3M so you don't have to return these. The metal housing is way to thin.",1.0,negative
I love Cinnamon. But really didn't like these,2.0,negative
"It's toothpaste, what is there to say?",4.0,positive
good brand and tasty,4.0,positive
I personally don't like the bristles on the pointy part. Like rubbing a brush between your teeth.,2.0,negative
"I love corn...and even those small kernels are still tasty...

I would purchase this again...since I need more words again",4.0,positive
Not worth the price.,2.0,negative
Did not like this new product - we ill not order again. I guess I like the filling way too much to let it go.,2.0,negative
"When i received the box it was damaged and laundry detergent was all inside box spilled on food and can of sprite was exploded and cookies had soap all over them and box of Barilla Pasta, Spaghetti, 32 Ounce was open and popcorn with soap every where so I am a little mad right now!!",1.0,negative
"I am a devotee of Band-Aid bandages.  I normally purchase small packs from the local pharmacy, but in an effort to safe a few $$ I went with this box.  Boy, was I disappointed.  These seem like knock-offs.  The edges fray even before you put the bandage on, they either come off quickly or are so adhesive that they leave a layer of goop on your skin.  Once I am done with this box, and it will not be soon enough, I am back to the 30 count boxes on Main Street.",2.0,negative
"I purchased these TENA underwear for my grandmother (who is assisting me in writing this review.) At 90 she doesn't get around as easily as she use to.

She began to wear Depends for ""just in case"" she was out somewhere and unfamiliar with where the bathrooms were. She really didn't care for how bulky the Depend brand was. So Tena was recommended.

She found them to be bulky as well and many of the legs were defective and glued shut. Making.them a waste of money in her opinion. They are not the product for her and she wouldn't recommend them to others.",1.0,negative
TOO EXPENSIVE BUT REALLY GOOD,5.0,positive
As expected at a good price,5.0,positive
Not what I expected,2.0,negative
Stale & Old -- Don't buy food from prime pantry.,1.0,negative
"Having been an iced coffee drinker for more years than I'd like to admit as it will surely age me, I am always on the search for the perfect iced coffee when I cannot prepare it on my own.  This Starbucks double shot espresso is a bit of a disappointment. It's overly sugared and has an artificial taste.  It almost taste like the coffee version of YooHoo. Granted, it's better than  many iced coffee is I've purchased in caf&eacute;s ,  but it still misses the mark.  If you want to terrific iced coffee and you can't make it on your own try Ily Issimo.
https://www.amazon.com/gp/aw/d/B002IEZJMA/ref=sr_ph_1_a_it?ie=UTF8&qid=1471454167&sr=sr-1&keywords=illy+issimo+coffee+drink",2.0,negative
"Crunchy is right. These totally satisfy my afternoon craving for a little crunch without any added sugar. Just one ingredient: apples. I hate how other brands feel the need to add sugar. Fruit already is sweet and has enough sugar naturally. the only complaint i have with these is that the bag is really small. It's only 2 servings. a little overpriced in my opinion, but since there aren't a lot of good options, i will likely continue to purchase.",4.0,positive
"Yummy and convenient, naturally sweetened with juice instead of syrup - a good way to get some fruit in the diet.",5.0,positive
Much too salty!,2.0,negative
These crack apart too easily.  The two 90 degree angles in these taco shells seem to be too much for a corn tortilla to handle.,2.0,negative
"its been a while since i bought aunt jemima pancake mix - since that time, the company has drastically upped the 'sugar' content. the pancakes are WHY to SWEET! disqustingly sweet, actually.",1.0,negative
"After very little use, several times, the lens fell off and then the housing came off and then the connections broke very useless. it is a nice idea, the lights need a little bit of work (brighter) but it is a fantastic size",2.0,negative
love,5.0,positive
"Expires July 16, 2016. Filling thick and old. Questionable...",1.0,negative
Bumble bee is our favorite tuna and the price was cheaper than the stores by me.,5.0,positive
Other than the boxes being left on my porch soaking wet when the delivery person knew it was supposed to rain & the boxes falling apart & all paper packaged products inside being soaked as well this product is what is to be expected. Cans arrived dented as well.,4.0,positive
This stuff is trash. Not sure what everyone else got but mine was so dry rotted to the point they broke off in the hole. After using all of them and got 4 out of 10 to take I was able to break the abs plastic plate off with the slightest of easy. Not trusting this crap to mount anything. Like a few other said I had to rebuy more of them from a hardware store and they worked fine. But these have been laying out in the sun way to long or there 50years old lol. Buy at your own risk.,1.0,negative
extremely dented cans sent. would not recommend on that fact alone.,1.0,negative
Delicious,5.0,positive
I was expecting what I saw in the picture... nope.  And the amount in the photo is more like 100 grams than 20 grams.  I tried it in my hands for a couple minutes... nothing happened.  I hope my daughter can make it work.  Not impressed with it yet.,2.0,negative
Good spaghetti sauce,4.0,positive
"Well, it's big and takes up a lot of space, like I'd expect a garage vacuum to.
It's loud, like I'd expect a garage vacuum to be.
It's kind of expensive, like I'd expect a garage vacuum to be.
Beyond that, it's not too far off from a household Bissell that can be wall-mounted.

For the size and weight of this vacuum, I was really expecting something like a car wash vac, or at the very least, a lower-end ShopVac that could live on my wall. What I really got though, seems like it was designed to grab Cheerio's out of your child seat.

I'm sure this is really awesome if you have a pristine white garage that you mostly use as a staging area for loading your wheelbarrow, and the worst mess you're going to clean up is maybe a bit of potting soil falling on the floor, or an improperly sealed bottle of Miracle Gro tipped over.

You see... the vacuum really isn't that powerful. Can it grab the dust from my garage floor? Sure. Pick up some spilled oil? Mmmmmmmmm-maybe. Leaves? Bolts? Wood scraps? Not really.

If you're looking for something really light-duty that helps promote the illusion that you could not locate a proper hardware store, let alone buy a vacuum from one, the Bissell fits the bill pretty nicely without breaking the bank. Installation was easy, and it looks nice on the wall.",2.0,negative
Good,4.0,positive
Best Blue Cheese Dressing I have had outside of a restaurant.,4.0,positive
"I purchased this tub and the spray can. I honestly found this to be no more effective than the Aspercreme lotion (not the roll-on).  Also, I thought ""Blue-Emu"" was just a catchy name but nope, this whole Blue-Emu line has actual Emu (the bird) lard in each product. Ummm, needless to say, I won't be purchasing any of this again.",2.0,negative
I found this to sweet. If I had a double coffee it was O K,2.0,negative
Ok,4.0,positive
"I never had a bad beef stick until I tried this product. Yuk.  When you bite it large gooey globs of fat or emulsifier squirt into your mouth - disgusting.  I squeezed a ton of it out with my hand trying to figure out what it was - still not sure, just gross.  And to top it all off it doesn't taste good, the spice is completely off, like nothing I've ever tasted on a beef stick before.  I love Old Wisconsin smoked turkey meat sticks, have had many times, spice/texture/etc. is great.  Never imagined their beef sticks could be so awful.",1.0,negative
"Gross, doesn't taste natural at all. I should have known better. Tossed the rest of the box after trying them.",1.0,negative
love coconut milk.......  we've been using this for 3 years. So happy Amazon is carrying this product in the prime pantry.....yay,5.0,positive
"I kept a few of these in my garage drawer, and they seemed like a good idea. However, even with the cap on, all three have
completetly dried out after a few months, and no way to refill the reservoir.
Back to the spray version and Q-tips! I won't be buying anymore of these.
I gave 2 stars only because initially, they are convenient, otherwise would have been only 1.",2.0,negative
Excellent,5.0,positive
"Not the best, probably really good for those that really love sugar.",1.0,negative
"Why did I think these would taste as good as ghirardelli. No, they are not even close. I even tried to add chocolate chips to them but they don't have that deep delicious rich chocolate flavor regardless of what I do to try and enhance them.",2.0,negative
"Wat idiot thought of this packaging? I've been at it all day and STILL cannot get this blasted thing open. I'm sure the Super glue itself is find, it's the getting at it that I am far from impressed with... I guess I'll grab the crowbar from the garage and try again. You think I'm kidding, I'm NOT!",1.0,negative
really good,5.0,positive
"Apart from the problems where a number of the nuts didn't have threads cut in them and were unusable, I don't appreciate getting spammed by sellers looking for positive feedback.
Appears to be no quality control in the manufacture of the this product, will not order this product or from this seller again.",1.0,negative
GOOD !!!,4.0,positive
The food looked and smelled good before I put the mixed the cheese packet in.  I don't know if the cheese may have spoiled or something in the original contents.  The product had a strange sweet but sour taste.  Maybe everything was spoiled but I did not think to test taste before adding the cheese sauce.  The food tasted nothing like lasagna but had more of a creamy soupy texture perhaps from the noodles settling for so long inside its container.  I only hope I did not get food poisoning.,1.0,negative
Thank You!!,5.0,positive
I found  that it did not go on smoothly and could not detect any scent.,2.0,negative
Great for those who cannot have extra sugars. Tastes just fine. Good for cooking with or drinking straight up. Make sure to shake the container first!,4.0,positive
Perfect purchase!!,5.0,positive
"So far I've tried filament from 3 separate companies, and this has been the only one of the 3 I had problems with.  I bought the Chocolate Brown and the silver, both were wrapped so poorly that it failed prints simply because the filament was caught in the spool and couldn't feed.  But that's not the only problem I had.  I had actually paid someone to create a model for me and I had them do two reworks because the print would fail between 1/3 and 2/3 through - it would start getting stringy and trash the entire print.  I never had this problem before with this printer but I tried everything - cleaning it out, re-leveling it twice, etc.  After their 2nd rework he said there's nothing wrong with the model and suggested that I check my printer, I switched filaments to a Hatchbox spool.  It printed perfectly right out of the gate.  I apologized to the designer, tipped him for his trouble and vowed never to buy filament from this company again.",1.0,negative
"I enjoy Fettucine. I've tried most of the major brands, and some are pretty good as far as flavor and consistency, but DeCecco is the best, especially if you prefer your pasta 'al dente,' or slightly firm. Cooked this way the noodles really shine, with a even consistency and delicious flavor.

You do need to make sure that you stir the pasta as it cooks as the noodles tend to stick together for the first 5 minutes or so in the boiling water. I find that adding a tablespoon of olive oil helps out immensely.

These go really well with homemade Alfredo sauce, as well as simply garlic, olive oil, and your favorite vegetables tossed together.",4.0,positive
"Too put it mildly too much salt and too much garlic.  Some bags in the case were almost inedible.  You cannot find this brand anywhere, no one has stock.  The everything variety is the tops.  Do they not have enough production capacity to keep up with demand?",2.0,negative
It's okay ... didn't have the best flavor out there.  Just kind of bland.,4.0,positive
"The best salt for popping popcorn, I love cooking with it for the brightness it adds to a dish. These are nice big crystals and a little goes a long way. There's always a box of this in my kitchen because I use it in almost everything.",5.0,positive
"I like the idea of organic soup, but this tasted a bit weird - I'm thinking it's possibly due to using an aseptic container.",2.0,negative
I use these for mid morning snacks. will keep purchasing.,4.0,positive
Fake bacon has a HORRIBLE taste. I cannot recommend. I would eat it again only if I had NO choice in the matter. They need to hire better taste testers.,2.0,negative
Ok,5.0,positive
found an extra one in the panty -- made the world's best Pumpkin pie,5.0,positive
used Softsoap for many years. Love this scent.,4.0,positive
:-),5.0,positive
No one in my home liked these.  They were odd.,2.0,negative
"I purchased this product because I wanted to make a 5 megaton bomb to impress my neighbors at our fourth of July barbecue.  Unfortunately, when all was said and done, I was embarrassed when the yield was less than 500 kt.  No birds on fire, no boiling rivers, nothing.

I want my money back!",1.0,negative
Has lumps in it and did not dry consistently,2.0,negative
I've often wondered why I went to the solid white Albacore instead of this slurry.  Now I remember.,2.0,negative
"It worked great, for exactly 34 days.  Then the numbers started disappearing.  See photo.  Makes use impossible.  New battery did not help.  Frustrating, because I did like it.",1.0,negative
"After reading some of the reviews on here, I bought this to use it as a fill for creamer while adding extra flavor, but it hardly adds any flavor at all. In fact, it makes the coffee taste infinitely worse in my opinion. Threw it out.",2.0,negative
Love them! They taste great!,4.0,positive
Kitchen staple,5.0,positive
awesome.  love these.,5.0,positive
"My Monoprice printer clogged twice in three prints.  I theory is that this plastic doesn't remelt very well, so what is left in the
extruder after a print won't remelt for the next print.  Anyway, I returned the spool, I think I'm going to stick with Hatchbox.",2.0,negative
none,1.0,negative
who doesn't like Pepperidge Farm cookies?,4.0,positive
I can drink an intire six pack without getting drunk...,4.0,positive
"These have a sweet yet spicy flavor, that is quiet addicting! I love the crunchy texture as well!",5.0,positive
"Always good to snack on,  my can had more than its share of peanuts though and that was a disappointment this time..  I have always enjoyed your product and will more than likely buy them again.",4.0,positive
convenient.,4.0,positive
Needs larger rock sea salt to bring out the flavor more. The dark chocolate isn't all that good,2.0,negative
Great little snack size.  We like them a lot.,5.0,positive
great for stir-fry and any dish you want to experiment with adds a different dash to any dish,5.0,positive
Excellent,5.0,positive
Tastes TERRIBLE !  sorry i have to say that on anything with the Hershey's brand !,2.0,negative
Sugar and lard are un necessary ingredients in peanut butter.,1.0,negative
I love C&H brown sugar because it is cane sugar (I think C&H might be the only one that's cane?).  This was a great price on the 32oz.,5.0,positive
Tiny little rolls. They are soft but you don't get much for the cost.,2.0,negative
"I purchased these knurled knobs mainly for the price. It seemed like all the other ones were much more expensive. I did not even pay attention to the ""lock nut"" in the description. I didn't even know they made these with nylon locking nuts. While I have used nylock nuts on quite a few items where I don't want the nut coming off,  (like on some kind of a pivoting joint) one of the main reasons for ordering knurled nuts to begin with is because they are tightened and removed frequently. A nylon bushing doesn't make sense here, and to me is just a bad design. Not sure what they were thinking.

I just took 0.25 x 20 tap that I happen to have, and got rid of the nylon, but it takes a while, and something I did not anticipate having to do. I like the knobs well enough that I'm not going to bother to send them back, but I think the manufacturers should reconsider the locking part. It's really inappropriate for knurled knobs.",2.0,negative
"Was a Gift to-for Another...but, They ""Loved IT also""!!....driggs, 1/17/16",4.0,positive
"I am not impressed with these.  I can not get the smaller bands to fit onto the drums for anything.  I end up destroying the bands before getting them to fit.  The larger bands and drums do work together, they just don't last as long as other brands.  Two starts because I was able to make use of some of the bands, and can use other bands with the drums so it wasn't a total waste of money.  Not worth the money in my opinion.",2.0,negative
I thought these had a weird taste to them. my hubby and kids loved them.,2.0,negative
"These are cheaply made terminals that do not crimp well, even with a quality Greenlee ratcheting terminal crimper.",2.0,negative
Chalky tasting,2.0,negative
smashed,1.0,negative
"My wife and I have cut back at lunch and generally eat one cup of soup and a small sandwich.  We have been trying different soups and this one is excellent.  It is thick and tasty and it is also filling.  Each serving is 1 cup with 130 calories and 7 grams of fiber (28 percent of your daily allowance of fiber per cup), no cholesterol, and 13 grams of sugar.  It is one of the best tomato soups I have ever had.

I have attached two photos of the can and the nutrition data for your review.  I recommend it to you as I really enjoyed it.",5.0,positive
"I am changing my review---- I will leave the first one below to show my initial response.

After use the heat sensor broke-  It might be as simple as a broken wire.  To my great surprise I was told the heating head was only under warranty for 90 days.  So the most used- most likely part to break has a VERY short warranty.  Not good.  If anything will break first on a machine it is the head and the don't support it.  I have $489 dollars worth of machine that won't work because they won't replace a $10 part. I was fan and supported them and get nothing in return.  It never worked great but FOR THE PRICE it was good enough.  But now it won't work and I'm out.

1st review below before breaking:-------------------------------
Amazing!!!!!- but not for everyone.
I've compared this against $15,000, $1;600, and $800 FDM printers.  For the price, it is unbelievable and has quality equal to the lesser cost ones and 70% of the most expensive machine.
Note the qualification: ""For the price"".
Because this is the first version it is not perfect.  I had to return 1 of these that arrived with issues and fixed the 2nd.  It had bad shipping issues, and without my help would not have worked.  The software has lots of  issues.  The filament has a chip so you must buy theirs, but it is cheap. So to be clear- it has messed up a lot of parts and arrive broken twice.  So why the 5 stars?  Because it makes great parts for 1/30th the price of my other machine. Any 3d printer below $3000 will need similar attention as this one.  I know you don't have to fix a hairdryer you buy from Amazon- but 3D printers are changing daily and that's a reality you should accept or avoid the for now.  IT IS THE FUTURE- but its not perfect yet-

If you have never touched a 3D printer - Wait - till the 2nd or 3rd version.  They need to work out basic design and manufacturing issues.

If you want to play with the future for $500- buy one of these.

XYZ was very responsive to all above issues, and has worked with me readily.  They know there are issues and want to help.",1.0,negative
great,5.0,positive
"Great price for beans, beans, beans, beans, beans, beans . . .",4.0,positive
my grandchildren love these nut thins!!!,5.0,positive
"Arrived smashed and package broken, won't buy again!",2.0,negative
"Love the ""panda puffs"" version, but the ""elephant puffs"" were not a hit with my son. Pronounced cinnamon flavor.",4.0,positive
Yum ,5.0,positive
convenient,4.0,positive
"Great product.  Needs a lower price tag though, ouch.",4.0,positive
"Good price for this set.  Will find better way to store small weights. Update: you have to be kidding, you cant even make a 50 gram weight right. There was a piece of metal and two metal balls in the bottom of the container...turns out my 50 gramer decided to take a dump and is now in the high 48 to low 49 g range.",1.0,negative
The wall thickness is far from .065. It measures .075 which will not work for my application. Money out the window.,2.0,negative
Delicious treat,5.0,positive
Perfect amount of fluff.,5.0,positive
They do not last long in this household. I have to hide some if I want one.,5.0,positive
this is good!,5.0,positive
Use these all the time for leftovers. Great for guests to take food with them too.,5.0,positive
"It worked perfectly for about a month. Now, it is complete garbage.  You people stole my money by selling me a pH pen which is only suppose to work for a free weeks. Seems like they are designed to fail at the warrantee marker.  Anyway,  it will not calibrate, it thinks tap water at 7.3pH is over 10pH.  I cannot adjust it because it says, ""Err"" and will not program if the sensor reads 1.3pH +/- what it suppose to be.  Example, if your calibration fluid is pH 7, your meter might read 8.3.  When you give it the 7.0 buffer for calibration it tells you ERROR.  Error!!!  Why error????  It will not calibrate, this thing is expensive trash.  Shame on you people who seel it, You KNOW its a ripoff fraud and piece of junk.",1.0,negative
"Although this is a type of item that I have purchased at the grocery store I guess I should have taken the time to read the reviews on here before ordering. The package of 32 single bags of chips arrived in good visual condition on 12/22/15 but happens to have a use by date of 1/12/16. We opened one bag of chips last night, not the freshest. I'm sure the bulk of this item will end up being fed to the birds since there is no way we will eat that amount of chips in such a short period of time.",2.0,negative
Had issues with this roll. Only had it 2 weeks and began to get brittle with every run. Had to discard 3/4 of the roll. I always keep all my PLA in sealed bags with moisture packs when not running jobs.,1.0,negative
Convenient,4.0,positive
"It showed sign of degrading six month later. The new cost now $64... well, time to return the replacement.",1.0,negative
"Over-priced plastic junk. These ramps are a safety hazard! Purchased brand new and first time with a Ford Fiesta they worked good. Second time using, drove my Ford Ranger on them and they Both structurally failed with supporting plastic underneath cracking and allowing the truck to collapse to the Ground. I've used another brand of plastic ramps for 7 straight years to change oil in my Ranger and they have never cracked to this day. Buyer Beware!",1.0,negative
"Don't care for the flavor, not a noticeable salted caramel flavor, rather disappointing, and the cost is a little high too.",2.0,negative
GOOD.,4.0,positive
WAY TOO SWEET!  I wanted something organic instead of Heinz and decided to try this.  It tastes syrupy and we just threw away the whole bottle.  It was a bad experience for sure.,2.0,negative
Good rice.,4.0,positive
very good wouldbuy again.,4.0,positive
"These are good but I would just assume buying a gallon from the grocery. These are great for lunches or on the go because it is individual drinks.
Tropicana is the best orange juice!!!",2.0,negative
"I did not like these at all!  Partly because they are extra crunchy Kettle cooked, which I didn't notice when I bought them, but more because the flavorings just didn't live up to the aspirations for this chip.  I love a good gyro - this wasn't even enough to remind me of one.  I offered them to some others to try, and their reactions were total dislike.  I ended up throwing away most of them.  Good idea - terrible chip!",1.0,negative
